imt2017009,10.8,5.8
imt2017023,10.8642857143,5.8642857143
imt2017028,13.069047619,8.069047619
imt2016032,13.35,8.35
imt2017032,15,10
imt2017027,12.1119047619,7.1119047619
imt2017047,12.280952381,7.280952381
imt2016021,15,10
imt2017038,12,7
imt2017039,10.1833333333,5.1833333333
imt2017517,12.5119047619,7.5119047619
imt2017045,10.9642857143,5.9642857143
imt2017017,11.3452380952,6.3452380952
imt2017010,15,10
imt2017006,12.1857142857,7.1857142857
imt2017030,12.1547619048,7.1547619048
imt2017011,13.2476190476,8.2476190476
imt2017037,10.2880952381,5.2880952381
imt2017018,12.0785714286,7.0785714286
imt2015001,15,10
imt2017022,8.9142857143,3.9142857143
imt2016066,11.2785714286,6.2785714286
imt2017016,11.8880952381,6.8880952381
imt2016084,15,10
imt2017021,12.3071428571,7.3071428571
imt2017019,11.9285714286,6.9285714286
imt2017002,9.9357142857,4.9357142857
imt2017025,12.169047619,7.169047619
imt2017041,12.1357142857,7.1357142857
imt2017042,11.3428571429,6.3428571429
imt2017033,12.8380952381,7.8380952381
imt2017521,11.8928571429,6.8928571429
imt2017026,13.4333333333,8.4333333333
imt2017043,12.75,7.75
imt2017003,11.9833333333,6.9833333333
imt2017012,12.65,7.65
imt2017004,12.0166666667,7.0166666667
imt2017024,12.0619047619,7.0619047619
imt2017008,11.8166666667,6.8166666667
imt2017522,12.0119047619,7.0119047619
imt2017044,12.1452380952,7.1452380952
imt2017020,11.55,6.55
imt2017034,12.0047619048,7.0047619048
imt2016061,15,10
imt2017046,12.3666666667,7.3666666667
imt2016016,15,10
imt2017007,12.6404761905,7.6404761905
imt2017013,12.1404761905,7.1404761905
imt2017035,11.1214285714,6.1214285714
imt2017031,12.6214285714,7.6214285714
